feature_group	feature	Microsoft Project	Clarizen	JIRA	Wrike	Smartsheet	Basecamp 3	Trello	Asana	Xtrant	Slack
Learning and Support	Forums	1	1	1	1	0	0	1	0	0	0
Learning and Support	Help Desk	1	0	1	1	1	0	1	0	0	0
Learning and Support	Instructional Videos	0	1	0	1	1	1	0	0	1	1
Learning and Support	Knowledge base	1	1	1	1	0	0	0	1	1	0
Learning and Support	Live chat	0	0	0	1	0	1	0	0	0	0
Learning and Support	Mailing List	0	1	0	0	0	0	0	0	0	0
Learning and Support	Normal business hours	0	0	0	0	1	1	0	0	1	0
Learning and Support	On-site	0	0	0	1	0	0	0	0	0	0
Learning and Support	Online self serve	1	1	1	0	1	0	0	0	1	0
Learning and Support	Owner's/User Manual	0	1	1	0	0	0	0	0	0	0
Learning and Support	Phone	0	1	0	1	1	0	0	0	1	0
Learning and Support	Recorded demos	0	1	0	1	1	0	0	0	0	0
Learning and Support	Remote Training	1	1	0	0	1	0	0	0	0	0
Learning and Support	Request form	0	1	0	0	1	0	1	0	0	0
Learning and Support	Tips and hints	0	1	0	1	1	0	1	0	0	0
Learning and Support	Webinars	0	1	1	1	1	0	0	0	0	0
Learning and Support	White papers	0	1	0	0	0	0	0	0	0	0
