feature_group	feature	FastTrack Schedule	Daptiv PPM	Zoho Projects	Twproject	Primavera	OrangeScrum	Todoist	Targetprocess	PM3	ProjExec
Budget and Expenses	Forecast Budgets	0	1	1	0	1	0	0	1	1	0
Budget and Expenses	Manage Expenses	0	1	1	1	1	1	1	0	1	1
Budget and Expenses	Set Hourly Rates	1	0	0	0	0	1	0	1	1	0
Budget and Expenses	Track Burn Rate	0	1	1	1	0	0	0	1	0	0
Budget and Expenses	Track Staff Hours	0	1	1	1	1	1	1	1	1	0
Budget and Expenses	Track Project Hours	1	1	1	1	1	1	1	1	1	1
Reporting	Custom Reports	0	1	1	0	1	1	0	1	1	1
Reporting	Dashboard	0	1	1	1	1	1	1	1	1	1
Reporting	Financial Reports	0	1	1	1	1	1	1	0	1	1
Reporting	Resource Reports	0	1	1	1	1	1	0	1	1	1
Notifications	Custom Notifications	0	0	0	0	0	1	0	1	1	1
Notifications	Email Integration	0	0	1	1	0	1	0	1	1	1
Notifications	Notification Groups	0	0	0	0	0	0	1	0	0	1
Notifications	SMS Notifications	0	0	0	0	0	0	1	0	0	0
Customization	Curated Features	0	0	1	1	0	1	0	1	1	1
Customization	Custom Fields	0	0	1	1	0	0	1	1	0	1
Customization	Custom Labels	0	0	1	1	0	0	0	1	0	0
Customization	Custom User Interface	0	0	0	1	0	0	0	1	0	1
Customization	Software Development Kit	0	0	0	0	0	0	0	1	0	1
Learning and Support	24/7	0	1	1	1	0	1	1	0	0	0
Learning and Support	Brochures	0	1	0	1	1	0	1	0	1	1
Learning and Support	FAQ	0	1	1	1	0	1	1	1	1	0
Learning and Support	Forums	1	1	1	0	0	1	1	0	1	0
Learning and Support	Help Desk	0	0	0	0	0	1	0	1	1	0
Learning and Support	Instructional Videos	1	1	1	1	0	0	0	1	0	1
Learning and Support	Knowledge base	1	0	1	0	0	0	0	1	0	0
Learning and Support	Live chat	0	0	0	0	1	1	0	1	0	1
Learning and Support	Mailing List	0	0	0	0	0	1	1	1	0	0
Learning and Support	Normal business hours	0	0	0	0	0	0	0	1	1	0
Learning and Support	On-site	0	1	0	0	0	0	0	1	1	0
Learning and Support	Online self serve	0	1	1	1	0	1	0	1	1	0
Learning and Support	Owner's/User Manual	0	0	0	0	0	0	0	1	0	0
Learning and Support	Phone	1	1	1	1	1	0	1	1	1	1
Learning and Support	Recorded demos	0	0	0	0	0	1	0	1	1	1
Learning and Support	Remote Training	0	0	0	0	0	0	0	1	0	0
Learning and Support	Request form	0	1	1	1	0	1	0	1	1	1
Learning and Support	System upgrades	0	0	0	1	0	0	0	1	1	0
Learning and Support	Tips and hints	0	0	0	1	0	0	0	1	1	0
Learning and Support	Webinars	0	1	1	1	0	0	1	1	1	0
Learning and Support	White papers	0	0	0	0	1	0	0	0	0	1
Learning and Support	Wiki	0	0	0	0	1	0	0	0	0	0
Learning and Support	Blog	1	1	1	1	1	1	1	1	1	1
Learning and Support	Email	1	1	1	1	1	1	1	1	1	1
